$$ProductClassification.Name$AttributeDefinition.Name$AttributeCategory.Name,AttributeCategory.Name,AttributeCategoryId,AttributeDefinition.Id,AttributeDefinition.Name,AttributeDefinitionId,AttributeNameOverride,DefaultValue,DisplayType,Id,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,ProductClassification.Id,ProductClassification.Name,ProductClassificationId,Sequence,Status
Cables;Connector_Type,,,TNUA8UBSGUUGWKL4YN,Connector_Type,TNUA8UBSGUUGWKL4YN,Connector_Type,C13 to C14,,MCATWDZO9Y3ESBGH5I,false,false,false,,,,,Connector Type,UOMRQ0RHKKHP2JWIFX,Cables,UOMRQ0RHKKHP2JWIFX,,Inactive
Cables;Length,,,8ZV9VS3E5TQSAMDESS,Length,8ZV9VS3E5TQSAMDESS,Length,3,,5UEPNWQYAKI46ROWVK,false,false,false,,,,,Length,UOMRQ0RHKKHP2JWIFX,Cables,UOMRQ0RHKKHP2JWIFX,,Active
API Type;API_Type;API Specification,API Specification,GMA0GQJWTMYYMUQDUZ,XZZ7B6XUIAM2FQ3BIM,API_Type,XZZ7B6XUIAM2FQ3BIM,API_Type,Flex,,SUT6T0BG1XBYYMKDPY,true,false,false,,,,,API Type,LZ2OCBNUVE0ECHGB6Q,API Type,LZ2OCBNUVE0ECHGB6Q,,Active
QuantumBit2;Operating_System;Operating System,Operating System,SK04UD7PTE5SFODRWM,GIXSECOCZM601K3IZ2,Operating_System,GIXSECOCZM601K3IZ2,Operating_System,Amazon Linux 2,,CPSGXQE2C32QSGPN7P,false,false,false,,,,,Operating System,BF7RPUQCSGBPSZIYRI,QuantumBit2,BF7RPUQCSGBPSZIYRI,,Active
QuantumBit2;Base_Core_Count;Tech Specs,Tech Specs,4HGWDQKKTIHMSTUCX1,O6YDQUYMZSISXUUJYU,Base_Core_Count,O6YDQUYMZSISXUUJYU,Base_Core_Count,4,,EBH8ZDKYIP1MDBKAJF,false,false,false,,,,,Base Core Count,BF7RPUQCSGBPSZIYRI,QuantumBit2,BF7RPUQCSGBPSZIYRI,,Active
Server;Server_Configuration;Server,Server,NMC662ZUIAUGUPMQQ5,PIPDPE1EUZWZE0SKYG,Server_Configuration,PIPDPE1EUZWZE0SKYG,Server_Configuration,Security,,8SZAMOIOANDV7GIBOA,false,false,false,,,,,Server_Configuration,O1YGOEC03S5HBGB5ZQ,Server,O1YGOEC03S5HBGB5ZQ,,Active
Processor;Processor_Frequency;Processor,Processor,WMNNXZXCRZWBHF1FN3,C12JRUQ2NL047JTQ8J,Processor_Frequency,C12JRUQ2NL047JTQ8J,Processor_Frequency,3.2GHz,,ALV2G2NWEUCSMHJYGL,false,false,false,,,,,Processor_Frequency,EQZYZX7YTQ06FGRS8H,Processor,EQZYZX7YTQ06FGRS8H,,Active
Network_Adapter;NIC_Type;Network Adapter,Network Adapter,JPHC6SCKHWCAOUUAAH,JJYMF4ANQFQWW2FAPG,NIC_Type,JJYMF4ANQFQWW2FAPG,NIC_Type,Direct_Attach,,QRQIXLAMETXJOE7FVI,false,false,false,,,,,NIC_Type,ZWB0H94TOJKJGCAVVL,Network_Adapter,ZWB0H94TOJKJGCAVVL,,Active
Hard_Drive;HDD_Storage;Hard Drive,Hard Drive,UW7CFPFHZHECUQNYCY,M1HI5UHM1WPGS86RCL,HDD_Storage,M1HI5UHM1WPGS86RCL,HDD_Storage,1TB,,UFH3MG6U3AGZ6DRYSM,false,false,false,,,,,HDD_Storage,DDEYJTOXJJ6UHZ4SWZ,Hard_Drive,DDEYJTOXJJ6UHZ4SWZ,,Active
Memory;Memory_Config;Memory,Memory,ZYXAKFBIRALPZIO4XZ,F6MULJ9ZLWZVK3LLNE,Memory_Config,F6MULJ9ZLWZVK3LLNE,Memory_Config,Performance_Optimized,,EOAZJNA5ILPVBNYAJ0,false,false,false,,,,,Memory_Config,GZAMVAXV6VEAZQFM0V,Memory,GZAMVAXV6VEAZQFM0V,,Active
Memory;Memory_Capacity;Memory,Memory,ZYXAKFBIRALPZIO4XZ,2W1OH5K8GG7TPZPMWZ,Memory_Capacity,2W1OH5K8GG7TPZPMWZ,Memory_Capacity,8GB,,EDTIU6XPQBAHQ4BMSO,false,false,false,,,,,Memory_Capacity,GZAMVAXV6VEAZQFM0V,Memory,GZAMVAXV6VEAZQFM0V,,Active
QuantumBit;Flows;QuantumBit,QuantumBit,NUFO4IWMZBXLCU9DGV,S0ZUQ6VLWI57GBQKQG,Flows,S0ZUQ6VLWI57GBQKQG,Flows,1000,,L8TZYGG8ENQ0ULF3CV,true,false,false,,,,,Flows,OFQSEEYCXSNM8L7FKS,QuantumBit,OFQSEEYCXSNM8L7FKS,,Active
QuantumBit;Messages_Million;QuantumBit,QuantumBit,NUFO4IWMZBXLCU9DGV,L3VOB5G3T9XJ3F3BLY,Messages_Million,L3VOB5G3T9XJ3F3BLY,Messages_Million,60,,GE0QVQMLXLYW3F6KFJ,true,false,false,,,,,Messages (Million),OFQSEEYCXSNM8L7FKS,QuantumBit,OFQSEEYCXSNM8L7FKS,,Active
QuantumBit;Data_Throughput_TB;QuantumBit,QuantumBit,NUFO4IWMZBXLCU9DGV,5I1CIJIQBNURZYVHA0,Data_Throughput_TB,5I1CIJIQBNURZYVHA0,Data_Throughput_TB,0,,ILAPRKWWMX16VLSXTJ,true,false,false,,,,,Data Throughput (TB),OFQSEEYCXSNM8L7FKS,QuantumBit,OFQSEEYCXSNM8L7FKS,,Active
Subscription;SubscriptionType;Subscription Type,Subscription Type,QRR0D5AYIWR8YUK3LU,MPHNTB3HR1QJNIONAL,SubscriptionType,MPHNTB3HR1QJNIONAL,SubscriptionType,Evergreen,,PD6TYEXGR6WDEHJ6NH,false,false,false,,,,,SubscriptionType,YYFRRFWM1LBF0KUCNT,Subscription,YYFRRFWM1LBF0KUCNT,,Active
Professional_Services_Bundle;Notes_and_Assumptions;Professional Services Bundle,Professional Services Bundle,7WNSJWUCZLZSUBUVSG,WBJSL9IDD783UNVPSG,Notes_and_Assumptions,WBJSL9IDD783UNVPSG,Notes_and_Assumptions,,,9M8OB8NYTCBBWPCWZW,false,false,false,,,,,Notes_and_Assumptions,KK4DL89MT1R4VLYNLP,Professional_Services_Bundle,KK4DL89MT1R4VLYNLP,,Active
Engineering_Resources;Resource_Location;Engineering Resources,Engineering Resources,RJEKTNNZOWN0GF8WNU,6U3JRYK0NGSGXYLCPG,Resource_Location,6U3JRYK0NGSGXYLCPG,Resource_Location,Onsite,,XGD6EBNOMW65U53UAF,false,false,false,,,,,Resource_Location,EM223AJHNW9TDTFQAP,Engineering_Resources,EM223AJHNW9TDTFQAP,,Active
Engineering_Resources;Engineering_Options;Engineering Resources,Engineering Resources,RJEKTNNZOWN0GF8WNU,WDQWEYFSDV9JULRWIX,Engineering_Options,WDQWEYFSDV9JULRWIX,Engineering_Options,Extended_Care,,N81WPYOE5AELYUNJUS,false,false,false,,,,,Engineering_Options,EM223AJHNW9TDTFQAP,Engineering_Resources,EM223AJHNW9TDTFQAP,,Active
