AttributeCategoryId,AttributeDefinitionId,Errors,Id
0v38N000000000DQAQ,0tj8N0000008QM5QAM,,11E8N0000000001UAA
0v38N000000000DQAQ,0tj8N0000008QM8QAM,,11E8N0000000002UAA
0v38N0000000004QAA,0tj8N0000008QM7QAM,,11E8N0000000003UAA
0v38N0000000002QAA,0tj8N0000008QM6QAM,,11E8N0000000004UAA
0v38N0000000001QAA,0tj8N0000008QM9QAM,,11E8N0000000005UAA
0v38N000000000CQAQ,0tj8N0000008QMBQA2,,11E8N0000000006UAA
0v38N0000000007QAA,0tj8N0000008QMIQA2,,11E8N0000000007UAA
0v38N0000000005QAA,0tj8N0000008QMCQA2,,11E8N0000000008UAA
0v38N0000000006QAA,0tj8N0000008QMHQA2,,11E8N0000000009UAA
0v38N000000000AQAQ,0tj8N0000008QMDQA2,,11E8N000000000AUAQ
0v38N0000000009QAA,0tj8N0000008QMJQA2,,11E8N000000000BUAQ
0v38N0000000009QAA,0tj8N0000008QMLQA2,,11E8N000000000CUAQ
0v38N0000000009QAA,0tj8N0000008QMKQA2,,11E8N000000000DUAQ
0v38N0000000003QAA,0tj8N0000008QMAQA2,,11E8N000000000EUAQ
0v38N000000000CQAQ,0tj8N0000008QMEQA2,,11E8N000000000FUAQ
0v38N000000000BQAQ,0tj8N0000008QMMQA2,,11E8N000000000GUAQ
0v38N0000000008QAA,0tj8N0000008QMGQA2,,11E8N000000000HUAQ
0v38N0000000008QAA,0tj8N0000008QMFQA2,,11E8N000000000IUAQ
